id,count,name
11.1a,7768,Sprache (Allgemeines)
12.4,7692,Literarische Motive
10.2dp,7611,Personen zu Wirtschaftswissenschaften
19.3,7547,Hydrologie
13.1c,7531,Sachliche Motive in der Kunst
9.5c,7498,Sozialarbeit
6.7,7313,Bibliothek
3.1,7179,Allgemeine und vergleichende Religionswissenschaft
28,7124,Mathematik
25.3,7054,Spezielle Zoologie
16.5,6919,Geschichte einzelner Länder und Völker
17.2,6633,Brauchtum
31.3a,6607,Architektur
3.6b,6540,Evangelische Kirchen
15.1,6388,Theater
6.1a,6345,Kultur
16.3,6283,Archäologie
27.20,6218,Hygiene
24.3,5868,Spezielle Botanik
32.10p,5732,Personen zu Landwirtschaft
7.15p,5393,Personen zu öffentlicher Verwaltung
17.1,5377,Volkskunde
13.6,5334,Kunsthandwerk
10.7b,5288,Raumordnung
14.4,5265,Systematische und Angewandte Musikwissenschaft
23.2,5114,Biochemie
34.3p,5046,Personen zu Sport
6.5,5009,Wissenschaft
7.13,4899,Religionsrecht
34.1,4644,Sport (Allgemeines)
30,4519,Informatik
9.4ab,4463,Einzelne Berufe
10.13b,4397,Handel einzelner Branchen
19.1dp,4232,Personen zu Geografie
10.13p,4227,Personen zu Handel
28p,4194,Personen zu Mathematik
10.7a,4186,Umweltschutz
6.1p,4132,Personen zu Kultur und Künsten
6.2a,4054,Bildungswesen (Allgemeines)
31.10,4011,Verfahrenstechnik
19.1a,3995,Geografie
13.2,3957,Plastik
31.14,3900,Papierherstellung
31.3b,3895,Bautechnik
9.4a,3872,Arbeit
17.4p,3867,Personen zu Volkskunde
6.7p,3842,Personen zu Bibliothek
13.4,3816,Zeichnung
31.9b,3813,Elektronik
22.4,3690,Anorganische Chemie
12.1b,3680,Literarisches Leben
18,3646,Natur
15.4p,3552,Personen zu Rundfunk
27.8a,3551,Pharmazie
10.9b,3533,Bank
12.2b,3447,Anonyme literarische Werke
10.6b,3395,Fremdenverkehr
11.3a,3298,Lexikologie
13.1cy,3264,Geografische Namen als künstlerisches Motiv
7.8a,3260,Rechtspflege
21.5p,3259,Personen zu Physik
12.4y,3221,Geografische Namen als literarisches Motiv
8.1,3204,Politik (Allgemeines)
8.3,3156,Außenpolitik
8.2a,3132,Innenpolitik
16.1,3081,Geschichte (Allgemeines)
10.1c,3065,Wirtschaftsgeschichte: Neuzeit
9.4b,2971,Mitbestimmung
31.6,2897,Maschinenbau
6.8p,2871,Personen zu Archiv
10.11p,2861,Personen zu Betriebswirtschaftslehre
15.4,2837,Rundfunk
22.5p,2809,Personen zu Chemie
9.3b,2800,Bevölkerung
7.14,2795,Internationales Recht (einschließlich Völkerrecht und Recht der Europäischen Gemeinschaften
7.10a,2795,Wirtschaftsrecht
21.4,2793,Elementarteilchen
31.8a,2775,Fertigungstechnik
5.5p,2763,Personen zu Psychologie
10.6p,2733,Personen zu Telekommunikation und Verkehr
32.4,2730,Gartenbau
10.8b,2665,Bauwirtschaft
19.4p,2614,Personen zu Geologie
10.4,2536,Wirtschaftspolitik
31.11,2510,Lebensmitteltechnologie
13.3,2480,Malerei
3.5cb,2407,Mission
31.1a,2391,Technik (Allgemeines)
32.6,2365,Tierzucht
27.13,2312,Neurologie
6.3b,2297,Berufsausbildung
23.3,2230,Mikrobiologie
19.4c,2212,Mineralogie
3.5,2201,Praktische Theologie
7.3,2173,Staatsrecht
31.9a,2091,Elektrotechnik
8.1p,2088,Personen (Politologen
19.1d,2084,Reise
32.1a,2078,Landwirtschaft allgemein
12.4p,2022,Personen als literarisches Motiv
7.11a,2017,Arbeitsrecht
27.21,2002,Tiermedizin
13.1cp,1985,Personen als künstlerisches Motiv
10.1p,1929,Personen zu Wirtschaftsgeschichte (bis ca. 1900)
31.16,1924,Militärtechnik
10.9p,1924,Personen zu Geld
21.3,1871,Elektrizität
7.1a,1864,Recht allgemein
7.5c,1857,Baurecht
13.5,1846,Fotografie
12.1a,1821,Allgemeine Literaturwissenschaft
35,1808,Spiel
31.2,1797,Sanitärtechnik
31.4,1790,Bergbau
16.2,1785,Quellen und Historische Hilfswissenschaften
10.11a,1768,Betriebswirtschaftslehre (Allgemeines)
31.1c,1762,Mess-
10.10,1758,Genossenschaft
3.6c,1755,Ostkirchen und andere christliche Religionsgemeinschaften und Sekten
24.3p,1741,Personen zu Botanik
5.7,1719,Esoterik
5.1b,1714,Psychologische Diagnostik
14.2,1701,Musikalische Form
31.12,1691,Textiltechnik
10.12,1687,Gewerbe allgemein
18p,1684,Personen zu Natur
10.3c,1672,Energie- und Wasserwirtschaft
32.2,1656,Agrarpolitik
25.3p,1598,Personen zu Zoologie
20,1568,Astronomie
19.2p,1560,Personen zu Geodäsie
20p,1550,Personen zu Astronomie
6.1b,1545,Geistes- und Kulturgeschichte
12.3,1535,Literaturgattung
33.3p,1534,Personen zu Hauswirtschaft
23.4p,1514,Personen zu allgemeiner Biologie
22.2,1510,Theoretische und Physikalische Chemie
7.5d,1427,Kulturrecht
31.1d,1402,Werkstoffkunde
32.8,1388,Forstwirtschaft
19.4b,1373,Historische Geologie
29,1372,Stochastik
21.1,1353,Physik (Allgemeines)
10.12a,1321,Industrie
2.1p,1307,Personen zu Schrift
21.5,1307,Plasma
7.2c,1301,Rechtsgeschichte
00,1281,Unspezifische Allgemeinwörter
27.10,1264,Chirurgie
14.3,1249,Musikinstrumentenkunde
3.5bb,1231,Katechetik
19.1c,1228,Anthropogeografie
3.6,1221,Kirche und Konfession
33.3,1183,Mode
33.2,1171,Kochen
31.1b,1162,Technische Physik
15.2p,1161,Personen zu Kabarett
19.4a,1155,Allgemeine Geologie
27.2,1148,Anatomie
30p,1143,Personen zu Informatik
10.13a,1129,Handel allgemein
31.5,1109,Energietechnik
7.7a,1101,Strafrecht
5.1a,1091,Psychologie (Allgemeines)
6.4,1090,Unterricht
13.7,1079,Neue Formen der Kunst
13.1b,1066,Kunstgeschichte
31.15,1058,Glas
10.5,1051,Finanzwirtschaft
32.3,1045,Ackerbau
10.9c,1042,Kapitalmarkt
5.7p,1024,Personen zu Parapsychologie
5.2,1022,Entwicklungspsychologie
27.1a,1011,Medizin (Allgemeines)
10.8a,1011,Öffentliche und private Bautätigkeit
21.2,1009,Mechanik
10.11e,1008,Marketing
9.5b,1006,Sozialversicherung und Gesetzliche Krankenversicherung
27.3d,973,Haut
5.5,967,Angewandte Psychologie
34.2,952,Geschichte des Sports
7.12b,944,Schuldrecht
10.3b,944,Öffentliche Wirtschaft
31.8b,937,Feinwerktechnik
10.7p,915,Personen zu Umweltschutz
19.2,892,Geodäsie
9.5a,862,Sozialpolitik
7.6a,841,Polizeirecht
3.3c,839,Kirchengeschichte: Neuzeit
10.11f,838,Rechnungswesen
1,836,Allgemeines
7.9b,828,Steuerrecht
10.14,806,Versicherung
27.4,797,Allgemeine Pathologie
11.2b,788,Grammatik
23.1a,784,Biologie allgemein
22.3,779,Analytische Chemie und Untersuchungsmethoden
3.3b,778,Kirchengeschichte: Mittelalter
17.3,767,Sachkultur
9.2a,758,Sozialwissenschaften allgemein
9.1c,753,Sozialgeschichte: Neuzeit
27.9a,730,Hämatologie
5.3,726,Sozial-
19.5,725,Meteorologie
32.5,720,Phytomedizin
19.4d,717,Paläontologie
24.2b,717,Pflanzensoziologie
27.9c,706,Gastroenterologie
12.2a,704,Literaturgeschichte
4.3,701,Erkenntnistheorie
7.6b,699,Gesundheitsrecht
10.9a,684,Geldtheorie
25.2a,673,Anatomie
4.1,664,Philosophie (Allgemeines)
7.2b,662,Rechtsgeschichte
3.2,652,Bibel
27.7,645,Allgemeine Therapie
7.7b,645,Strafvollzug
27.3c,639,Ernährung
26p,630,Personen zu Anthropologie
4.5,628,Ethik
4.2,617,Philosophiegeschichte
10.2a,594,Wirtschaft
9.3d,585,Sozialisation
27.17,583,Zahnmedizin
7.5b,583,Kommunalrecht
31.13,575,Holzbearbeitung
3.3a,567,Kirchengeschichte: Antike
24.2a,555,Pflanzenanatomie
16.4d,554,Geschichte überregionaler Gebiete: Zeitgeschichte
27.11,528,Gynäkologie
10.11g,513,Investition
27.8b,512,Immunologie
10.11h,508,Personalpolitik
25.1,505,Zoologie (Allgemeines)
25.2b,503,Tiersoziologie
3.4b,494,Dogmatik
10.11m,492,Spezielle Informationssysteme
3.3,488,Kirchengeschichte
32.10,481,Fischerei
7.9a,479,Finanzrecht
9.3e,477,Kommunikation
10.8p,475,Personen zu Bau
9.2b,462,Methoden und Techniken der empirischen Sozialforschung
17.4,458,Volksliteratur
7.5e,456,Straßen- und Wegerecht
27.1b,456,Medizingeschichte
11.2a,451,Allgemeine Sprachtheorie
23.1b,450,Genetik
24.1,436,Botanik (Allgemeines)
27.9e,433,Knochen
10.2ac,433,Mathematische Methoden
10.11c,430,Beschaffung
15.2,426,Kabarett
7.11b,422,Berufsrecht
10.11i,422,Büro
27.9f,421,Infektionen
3.2b,421,Neues Testament
3.4a,419,Systematische Theologie (Allgemeines)
27.12,416,Kinderheilkunde
7.5a,409,Dienstrecht (auch Richter)
31.1e,407,Technikgeschichte
10.5p,407,Personen zu Finanzwirtschaft
10.2ea,406,Außenwirtschaft
3.2p,403,Personen der Bibel
33.1,397,Hauswirtschaft
3.2a,395,Altes Testament
32.9,393,Jagd
16.4c,384,Geschichte überregionaler Gebiete: Neuzeit
3.4c,384,Theologische Anthropologie
10.3p,378,Personen zu öffentlichen Aufgaben
27.3b,378,Blut
10.11b,374,Mathematische Methoden
32.7,374,Milchwirtschaft
27.19,368,Sondergebiete der Medizin
11.3b,368,Namenkunde
6.2b,359,Geschichte des Bildungswesens
27.16,353,Augenheilkunde
7.10b,352,Gewerblicher Rechtsschutz
11.2c,351,Phonetik
10.2b,347,Haushalt
27.14,342,Dermatologie
32.1b,336,Landwirtschaftsgeschichte
10.2c,335,Mikroökonomie
7.12d,333,Familienrecht
7.12c,329,Sachenrecht
7.4,329,Allgemeines Verwaltungsrecht
27.5,322,Allgemeine Diagnostik
22.1,309,Chemie (Allgemeines)
27.9d,305,Urologie
7.6c,303,Kriminologie
36,295,Basteln
19.5p,291,Personen zu Meteorologie
7.15b,287,Geschichte der Öffentlichen Verwaltung
3.5ca,284,Seelsorge
7.12a,283,Allgemeiner Teil des Bürgerlichen Rechts
4.4,283,Metaphysik
27.15,282,Hals-Nasen-Ohren-Heilkunde
27.6,278,Medizinische Radiologie
7.12,270,Bürgerliches Recht
5.4,266,Tiefenpsychologie
16.4b,263,Geschichte überregionaler Gebiete: Mittelalter
10.3d,263,Rohstoffwirtschaft
10.1b,252,Wirtschaftsgeschichte: Mittelalter
7.2a,250,Rechtsgeschichte
10.2aa,250,Volkswirtschaft
23.4,249,Untersuchungsmethoden (Biologie)
10.2eb,249,Außenwirtschaft
27.9b,247,Pulmonologie
10.15,228,Werbewirtschaft
10.15p,224,Personen zu Werbewirtschaft
10.4p,222,Personen zu Wirtschaftspolitik
27.3a,218,Physiologie (Allgemeines)
29p,218,Personen zu Stochastik
9.3a,201,Soziales Leben
26,199,Anthropologie
11.3d,190,Anonymes Werk als Sprachdenkmal
10.14p,185,Personen zu Versicherung
16.4,179,Geschichte überregionaler Gebiete
10.11d,175,Kosten
10.2dc,170,Wirtschaftsstruktur
11.1b,169,Historische Sprachwissenschaft
10.2da,168,Wirtschaftskreislauf
7.12e,163,Erbrecht
19.3p,161,Personen zu Hydrologie
35p,155,Personen zu Spiel
10.2e,145,Außenwirtschaft
10.2ep,144,Personen zu Außenwirtschaft
3.5ba,133,Homiletik
11.1c,124,Sprachliche Technik
7.11c,121,Gebührenrecht
4.7,120,Kulturphilosophie
7.5f,118,Wehrrecht
7.2,105,Rechtsgeschichte
10.1,102,Wirtschaftsgeschichte
9.1,101,Sozialgeschichte
27.3e,101,Harn- und Geschlechtsorgane
5.6,100,Parapsychologie
10.2ab,92,Wirtschaftssystem
10.3a,85,Öffentliche Aufgaben
4.6,75,Ästhetik
10.10p,74,Personen zu Genossenschaft
24.2,73,Allgemeine Botanik
27.18,72,Sexualmedizin
19,71,Geowissenschaften
27.9,63,Innere Medizin
25.2,58,Allgemeine Zoologie
7.8b,53,Rechtsmedizin
9.1b,51,Sozialgeschichte: Mittelalter
16.4a,51,Geschichte überregionaler Gebiete: Altertum
9.1a,38,Sozialgeschichte: Altertum
10.2db,35,Verteilung
36p,33,Personen zu Basteln
11.3c,24,Fachsprache
10.1a,22,Wirtschaftsgeschichte: Altertum
10.2d,21,Konjunktur
7.1b,10,Rechtsvergleich
0.0p,1,
6,1,
9.2,1,Sozialwissenschaften allgemein
39p,1,
